t,tau_jo_kc,tau_jn_kc,tau_jo_ka,tau_jn_ka,A_period_cost,B_period_cost,C_period_cost,A_cum_discounted,B_cum_discounted,C_cum_discounted,A_period_demand,B_period_demand,C_period_demand,A_cum_demand,B_cum_demand,C_cum_demand,B_u,C_u,C_v,B_a_M2_pre,C_a_M2_pre,B_age_M2_pre,C_age_M2_pre,A_cap_M1_pre,A_cap_M2_pre,A_y_M1,A_y_M2,B_cap_M1_pre,B_cap_M2_pre,B_y_M1,B_y_M2,C_cap_M1_pre,C_cap_M2_pre,C_y_M1,C_y_M2
21,1.15,0.25,0.156,0.229,578.6152429344793,509.92067359982786,542.1057708547497,12568.826008378595,13990.374944552303,13889.554637584704,53.124425120204236,55.553882672400775,57.528146522712476,1200.0816542277923,1245.5518133776031,1249.6484894629048,0,0,0,1,1,20,20,70.92,0.0,53.124425120204236,-0.0,70.92,71.75387421336455,17.985756377686815,37.568126294713956,0.0,71.75387421336455,-0.0,57.528146522712476
22,1.13,0.23,0.224,0.296,564.5368535886159,495.9966244452851,526.4615803206566,13091.083928793016,14449.225706851927,14376.588793758172,51.4844365262916,53.881215420631946,55.812736190630794,1251.566090754084,1299.433028798235,1305.4612256535356,0,0,0,1,1,21,21,70.92,0.0,51.4844365262916,-0.0,70.92,72.02921256268291,17.0194218387559,36.86179358187604,0.0,72.02921256268291,-0.0,55.812736190630794
23,1.17,0.27,0.148,0.206,599.3887260365904,528.5310357379485,560.1247888440138,13643.53196865392,14936.36522418956,14892.847822720103,54.798324104618615,57.325125357677884,59.37030093723348,1306.3644148587025,1356.758154155913,1364.831526590769,0,0,0,1,1,22,22,70.92,0.0,54.798324104618615,-0.0,70.92,72.25645119353452,18.630086338793276,38.69503901888461,0.0,72.25645119353452,-0.0,59.37030093723348
24,1.16,0.26,0.104,0.121,632.8637132283582,557.7216648912267,587.4983380193212,14224.67521136935,15448.507364894953,15432.333152831417,58.49879498871081,61.221890861044855,63.426054833685484,1364.8632098474134,1417.9800450169578,1428.2575814244544,0,0,0,1,1,23,23,70.92,0.0,58.49879498871081,-0.0,70.92,72.44399279636299,20.42743505409286,40.794455806951994,0.0,72.44399279636299,-0.0,63.426054833685484
25,1.14,0.24,0.046,0.096,554.2548747417807,484.9588848925259,513.2681705368356,14731.750736529446,15892.18552172217,15901.910848912452,51.85820848116826,54.28638417503692,56.22845140059576,1416.7214183285816,1472.2664291919948,1484.4860328250502,0,0,0,1,1,24,24,70.92,0.0,51.85820848116826,-0.0,70.92,72.59877216930526,17.46299971238996,36.82338446264696,0.0,72.59877216930526,-0.0,56.22845140059576
26,1.15,0.25,0.091,0.112,585.46836641101,513.3161059951858,540.4934218782112,15265.400956180909,16360.069473154414,16394.566728979236,54.25239465362604,56.821581018041144,58.882186010571964,1470.9738129822076,1529.088010210036,1543.3682188356222,0,0,0,1,1,25,25,70.92,0.0,54.25239465362604,-0.0,70.92,72.72651264889537,18.412327682573814,38.40925333546733,0.0,72.72651264889537,-0.0,58.882186010571964
27,1.16,0.26,0.108,0.197,616.8051444773052,540.7735221642108,574.4717336164347,15825.534234601568,16851.156891223236,16916.25617724617,56.90908309748488,59.49703576261855,61.547269734269335,1527.8828960796925,1588.5850459726544,1604.9154885698915,0,0,0,1,1,26,26,70.92,0.0,56.90908309748488,-0.0,70.92,72.8319377440855,19.506532097021267,39.99050366559729,0.0,72.8319377440855,-0.0,61.547269734269335
28,1.14,0.24,0.171,0.238,657.029935685979,575.7502913582739,608.9449324978275,16419.988812601245,17372.072876771497,17467.20535507183,60.3717526793974,63.13464405843883,65.31776626948655,1588.2546487590898,1651.7196900310933,1670.233254839378,0,0,0,1,1,27,27,70.92,0.0,60.3717526793974,-0.0,70.92,72.91894579925729,20.980874866234544,42.15376919220429,0.0,72.91894579925729,-0.0,65.31776626948655
29,1.17,0.27,0.142,0.209,695.573639237192,611.3244242440037,646.4329716499154,17046.98769065673,17923.128446601968,18049.908213689447,63.82213838052421,66.69996535433975,68.97996376094127,1652.076787139614,1718.419655385433,1739.2132186003194,0,0,0,1,1,28,28,70.92,0.0,63.82213838052421,-0.0,70.92,72.99075414480468,22.684349239325847,44.015616115013906,0.0,72.99075414480468,-0.0,68.97996376094127
30,1.15,0.25,0.088,0.229,667.9431819365391,-355.4537953203168,-365.94347579815474,17646.852382943787,17603.903417709695,17721.262639573873,62.14014444268389,64.84891126369051,66.94863732796969,1714.216931582298,1783.2685666491236,1806.161855928289,0,0,0,1,1,29,29,70.92,0.0,62.14014444268389,-0.0,70.92,73.05001806559997,21.93129008191354,42.917621181776965,0.0,73.05001806559997,-0.0,66.94863732796969
